dteday,hour,holiday,year,workingday,temp,atemp,hum,windspeed,casual,registered,counts,spring,summer,fall,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Mon,Tue,Wed,Thu,Fri,Sat,Cloudy,Snow,Storm
2012-12-21,12,0,1,1,0.32,0.2879,0.39,0.3582,25,199,224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2012-03-14,2,0,1,1,0.5,0.4848,0.68,0.19399999999999998,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-11,1,0,0,0,0.7,0.6667,0.79,0.0896,10,67,77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-05-13,20,0,1,0,0.66,0.6212,0.5,0.2836,67,163,230,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-01,9,0,1,0,0.36,0.3485,0.81,0.1343,102,173,275,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-02-14,20,0,0,1,0.36,0.3182,0.46,0.4627,5,65,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-10-25,15,0,1,1,0.62,0.6061,0.65,0.1343,63,242,305,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2011-06-26,10,0,0,0,0.72,0.6667,0.48,0.1045,136,196,332,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-05,11,0,1,1,0.9,0.8182,0.35,0.2985,107,137,244,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-08-28,14,0,1,1,0.84,0.7424,0.38,0.3284,72,179,251,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-08,19,1,1,0,0.4,0.4091,0.71,0.2537,38,333,371,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2011-10-24,1,0,0,1,0.4,0.4091,0.82,0.1343,7,8,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2011-07-19,4,0,0,1,0.72,0.6818,0.7,0.1343,1,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-03-18,5,0,0,1,0.38,0.3939,0.66,0.1642,2,8,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-04-17,23,0,0,0,0.44,0.4394,0.67,0.1642,19,37,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,6,0,1,0,0.3,0.2727,0.52,0.2985,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-05-14,19,0,1,1,0.58,0.5455,0.88,0.1343,10,294,304,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2011-05-12,11,0,0,1,0.58,0.5455,0.6,0.2239,43,136,179,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-12-02,22,0,1,0,0.44,0.4394,0.77,0.19399999999999998,11,85,96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012-07-17,0,0,1,1,0.72,0.7121,0.84,0.1045,10,43,53,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-12-07,7,0,0,1,0.44,0.4394,1.0,0.1045,3,43,46,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2012-10-01,23,0,1,1,0.54,0.5152,0.77,0.0,17,88,105,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2011-09-10,12,0,0,0,0.72,0.6818,0.62,0.2239,144,260,404,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011-07-15,2,0,0,1,0.6,0.5758,0.78,0.1642,16,22,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-06-15,7,0,0,1,0.54,0.5152,0.6,0.1343,22,348,370,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-10-26,16,0,1,1,0.58,0.5455,0.73,0.1642,137,445,582,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2012-05-22,5,0,1,1,0.56,0.5303,0.88,0.19399999999999998,0,17,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2012-10-19,11,0,1,1,0.6,0.5606,0.83,0.19399999999999998,41,211,252,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012-02-20,21,1,1,0,0.3,0.303,0.39,0.1642,8,90,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-09-25,1,0,0,0,0.6,0.5455,0.88,0.1045,31,93,124,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-08-24,5,0,1,1,0.64,0.5909,0.78,0.0,1,37,38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-10-25,1,0,1,1,0.58,0.5455,0.68,0.0,6,22,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2011-03-10,9,0,0,1,0.4,0.4091,0.0,0.2239,1,23,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2012-12-31,21,0,1,1,0.26,0.2576,0.6,0.1642,7,83,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2012-09-05,21,0,1,1,0.72,0.6970000000000001,0.79,0.0,18,278,296,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012-05-26,2,0,1,0,0.64,0.5758,0.89,0.1343,9,55,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-03-23,1,0,0,1,0.34,0.3182,0.76,0.2239,0,7,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2011-08-02,15,0,0,1,0.9,0.7727,0.25,0.2836,48,120,168,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-02-27,19,0,1,1,0.5,0.4848,0.29,0.3881,16,318,334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-25,5,0,0,1,0.56,0.5303,0.88,0.0896,2,23,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-09-22,16,0,1,0,0.74,0.6667,0.51,0.3284,253,427,680,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011-12-04,8,0,0,0,0.26,0.303,0.87,0.0,7,48,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-05-08,19,0,1,1,0.64,0.6061,0.69,0.2836,59,399,458,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-08-23,16,0,0,1,0.72,0.6515,0.32,0.1343,133,311,444,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-03-27,19,0,1,1,0.42,0.4242,0.17,0.0,40,377,417,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-04-11,16,0,0,1,0.74,0.6667,0.48,0.5224,73,162,235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-01-23,18,0,1,1,0.24,0.2424,0.93,0.1343,7,275,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2011-08-05,13,0,0,1,0.78,0.7121,0.52,0.2537,40,164,204,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-06-30,18,0,1,0,0.88,0.7879,0.35,0.0,91,248,339,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-11-21,0,0,0,1,0.46,0.4545,0.94,0.0,4,13,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2012-08-04,13,0,1,0,0.88,0.8182,0.42,0.2985,195,332,527,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-29,3,0,1,0,0.26,0.2576,0.28,0.19399999999999998,4,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,6,0,0,1,0.24,0.2121,0.93,0.2985,2,34,36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2012-07-24,6,0,1,1,0.66,0.6061,0.83,0.1343,17,173,190,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-06,23,0,1,0,0.44,0.4394,0.62,0.1343,37,142,179,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2011-12-25,6,0,0,0,0.2,0.2273,0.75,0.1045,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-11-09,18,0,1,1,0.42,0.4242,0.44,0.1045,46,450,496,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2011-07-28,16,0,0,1,0.86,0.8029999999999999,0.47,0.1642,42,214,256,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-10-16,0,0,1,1,0.46,0.4545,0.63,0.3881,3,45,48,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2011-01-22,19,0,0,0,0.08,0.1061,0.35,0.1343,6,53,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-04-11,13,0,1,1,0.4,0.4091,0.4,0.3582,16,147,163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2012-07-30,21,0,1,1,0.72,0.6818,0.7,0.19399999999999998,71,251,322,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-10-25,10,0,0,1,0.5,0.4848,0.51,0.2537,26,102,128,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2011-07-24,13,0,0,0,0.86,0.8029999999999999,0.47,0.2239,90,162,252,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-04,17,0,1,0,0.36,0.3485,0.43,0.19399999999999998,57,270,327,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-09-24,20,0,0,0,0.62,0.5758,0.83,0.0,77,166,243,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012-10-23,3,0,1,1,0.44,0.4394,0.77,0.1343,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012-01-06,7,0,1,1,0.24,0.2879,0.65,0.0,4,201,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2011-07-01,13,0,0,1,0.8,0.6818,0.24,0.0,83,209,292,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-06-10,9,0,0,1,0.76,0.6970000000000001,0.55,0.0,37,176,213,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-03-26,10,0,0,0,0.26,0.2576,0.41,0.1642,32,93,125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-07-11,14,0,0,1,0.86,0.8333,0.53,0.2836,40,94,134,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-10-26,2,0,0,1,0.44,0.4394,0.67,0.1642,2,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012-08-26,11,0,1,0,0.74,0.6970000000000001,0.66,0.3582,150,332,482,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-26,23,0,1,1,0.6,0.5758,0.78,0.2537,13,102,115,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2011-04-08,15,0,0,1,0.34,0.3182,0.87,0.2239,1,24,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2012-10-07,12,0,1,0,0.42,0.4242,0.71,0.0,100,292,392,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012-06-18,17,0,1,1,0.6,0.5909,0.73,0.19399999999999998,54,669,723,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2011-05-10,15,0,0,1,0.64,0.6212,0.33,0.0896,28,152,180,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-02-25,15,0,0,1,0.46,0.4545,0.41,0.8059999999999999,5,50,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-08-31,3,0,1,1,0.66,0.5909,0.89,0.1045,3,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-06-21,12,0,0,1,0.7,0.6667,0.74,0.1642,40,149,189,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-05-15,1,0,1,1,0.56,0.5303,0.88,0.1343,5,14,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2012-04-07,16,0,1,0,0.54,0.5152,0.19,0.3881,354,261,615,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-08-28,19,0,0,0,0.72,0.6667,0.48,0.1045,140,247,387,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-11,16,0,1,0,0.8,0.7273,0.46,0.2985,227,304,531,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-11-14,15,0,1,1,0.36,0.3333,0.43,0.2836,32,228,260,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2011-04-27,0,0,0,1,0.6,0.5606,0.83,0.2239,3,24,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-10-16,4,0,0,0,0.42,0.4242,0.54,0.19399999999999998,5,7,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-01-09,3,0,1,1,0.24,0.2424,0.52,0.1642,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-02-04,22,0,0,1,0.24,0.2424,0.65,0.1642,1,45,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2011-05-11,6,0,0,1,0.46,0.4545,0.82,0.1343,6,93,99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-05-22,11,0,1,1,0.6,0.5758,0.78,0.0,39,150,189,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2012-02-14,4,0,1,1,0.26,0.2727,0.65,0.1045,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-11-09,9,0,0,1,0.34,0.3636,0.93,0.0,22,197,219,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2012-09-24,23,0,1,1,0.46,0.4545,0.63,0.1343,11,83,94,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-08-05,15,0,1,0,0.9,0.8182,0.37,0.5224,164,286,450,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-20,7,0,0,1,0.22,0.2121,0.55,0.2239,1,100,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-02-18,4,0,1,0,0.26,0.303,0.7,0.0,3,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-06-23,11,0,0,1,0.76,0.7273,0.66,0.2537,28,108,136,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2012-01-13,1,0,1,1,0.38,0.3939,0.76,0.2985,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2011-07-03,17,0,0,0,0.8,0.7424,0.49,0.8507,181,177,358,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-02-21,21,1,0,0,0.22,0.19699999999999998,0.75,0.4478,1,33,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2011-02-12,5,0,0,0,0.12,0.1667,0.74,0.0896,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-24,22,0,0,1,0.14,0.1364,0.63,0.2239,3,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2012-07-22,19,0,1,0,0.72,0.6818,0.7,0.1642,180,342,522,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-14,0,0,0,1,0.66,0.6212,0.69,0.2985,14,32,46,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-10-12,23,0,1,1,0.36,0.3485,0.57,0.19399999999999998,11,89,100,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012-08-15,16,0,1,1,0.76,0.6818,0.48,0.19399999999999998,91,340,431,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-03-22,21,0,0,1,0.42,0.4242,0.54,0.2836,24,63,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-02-08,0,0,0,1,0.28,0.3182,0.87,0.0,4,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-07-06,7,0,0,1,0.72,0.6970000000000001,0.79,0.0,24,288,312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2012-03-18,0,0,1,0,0.46,0.4545,0.88,0.19399999999999998,27,80,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,15,0,1,1,0.8,0.7424,0.52,0.4478,100,224,324,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-12-22,1,0,0,1,0.44,0.4394,0.94,0.0896,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2012-03-13,19,0,1,1,0.64,0.6212,0.47,0.2239,50,429,479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-09-26,8,0,0,1,0.62,0.5455,0.94,0.0,29,326,355,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2011-03-30,19,0,0,1,0.26,0.2576,0.93,0.2239,5,67,72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2012-05-12,12,0,1,0,0.64,0.6212,0.36,0.1642,206,353,559,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-06-07,9,0,1,1,0.58,0.5455,0.68,0.0,37,300,337,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-24,11,0,0,0,0.84,0.8029999999999999,0.53,0.2537,74,169,243,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-30,22,0,1,1,0.3,0.3333,0.75,0.0,18,145,163,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2012-05-16,23,0,1,1,0.62,0.5909,0.78,0.1045,26,107,133,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-17,4,0,0,1,0.32,0.3182,0.57,0.19399999999999998,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-08-20,14,0,1,1,0.72,0.6667,0.54,0.1642,87,188,275,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-31,3,0,0,1,0.64,0.5606,0.94,0.0,1,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2011-11-16,5,0,0,1,0.46,0.4545,0.94,0.1045,0,13,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2011-01-24,0,0,0,1,0.06,0.0606,0.41,0.19399999999999998,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-01-05,11,0,0,1,0.26,0.2273,0.33,0.3284,12,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-10-25,14,0,1,1,0.6,0.5909,0.73,0.1343,71,214,285,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2012-04-21,5,0,1,0,0.5,0.4848,0.82,0.2537,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-08-14,22,0,1,1,0.72,0.6818,0.66,0.0896,28,161,189,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-12-06,9,0,0,1,0.46,0.4545,0.94,0.2239,4,200,204,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2011-07-09,10,0,0,0,0.76,0.6970000000000001,0.52,0.1642,87,177,264,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-02-23,13,0,0,1,0.3,0.3182,0.28,0.0896,9,78,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-05-24,22,0,1,1,0.64,0.5909,0.78,0.1045,33,210,243,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2012-02-09,20,0,1,1,0.32,0.3485,0.36,0.0,2,197,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-02-02,10,0,1,1,0.42,0.4242,0.77,0.1045,6,72,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2012-12-16,13,0,1,0,0.38,0.3939,0.76,0.19399999999999998,67,289,356,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012-05-20,14,0,1,0,0.72,0.6515,0.39,0.3881,236,307,543,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-07,21,0,1,1,0.54,0.5152,0.45,0.2239,37,210,247,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2011-06-18,12,0,0,0,0.74,0.6970000000000001,0.66,0.0896,162,258,420,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-02-05,14,0,1,0,0.3,0.303,0.61,0.1642,40,203,243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
